,0
2008-02-19,1.0
2008-02-20,0.9998886235172139
2008-02-26,0.9992092369122325
2008-03-19,0.9966640822613312
2008-06-19,0.9857872886797621
2008-09-18,0.9760983596587144
2008-12-17,0.9673304941905483
2009-03-17,0.9590051308979406
2009-06-18,0.9506607663495606
2009-09-17,0.9424981832101156
2009-12-16,0.9343023386038483
2010-02-19,0.9268966861939028
2011-02-21,0.8916151478882565
2012-02-20,0.8559911540858989
2013-02-19,0.8198870960937451
2014-02-19,0.7837539418127024
2015-02-19,0.7478026732619364
2016-02-19,0.7123706525565664
2017-02-20,0.6777338317315885
2018-02-19,0.6443005830214572
2019-02-19,0.6120673639717101
2020-02-19,0.5810755659802833
2021-02-19,0.5519080453847811
2022-02-21,0.5239095026674104
2023-02-20,0.49760891448669947
2024-02-19,0.47273703107271386
2025-02-19,0.44918283918666624
2026-02-19,0.42698171260233
2027-02-19,0.40605588116161223
2028-02-21,0.386237135541788
2029-02-19,0.3677439956338762
2030-02-19,0.3502321974348766
2031-02-19,0.3337286733630345
2032-02-19,0.31818730132020634
2033-02-21,0.30347678811418805
2034-02-20,0.2897278367665677
2035-02-19,0.2767634167396487
2036-02-19,0.26448589616819385
2037-02-19,0.25288975240246314
2038-02-19,0.24191808990848113
2039-02-21,0.23145606420339135
2040-02-20,0.22161081749299455
2041-02-19,0.21227519622174612
2042-02-19,0.2033852264406082
2043-02-19,0.19493939275422673
2044-02-19,0.18690912403725346
2045-02-20,0.17926089990504576
2046-02-19,0.17201859934572644
2047-02-19,0.165097278789859
2048-02-19,0.15849455828799858
2049-02-19,0.15219495813756778
2050-02-21,0.14613862888932172
2051-02-20,0.1404126312921044
2052-02-19,0.13493764889970095
2053-02-19,0.1297029499894245
2054-02-19,0.12471391504849484
2055-02-19,0.11994094025342002
2056-02-21,0.11536285859700084
2057-02-19,0.11103702076977447
2058-02-19,0.10690413230594456
